player,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_assist,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Ali Al Hassan,MF,Saudi Arabia,25-289,1997,1,1,45,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.15,0,0.15,0.15,0.15
Ali Al-Bulaihi,DF,Saudi Arabia,33-027,1989,3,3,216,2.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ali Assadalla,MF,Qatar,29-333,1993,1,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ali Gholizadeh,MF,IR Iran,26-283,1996,3,2,199,2.2,0,1,0,0,0,0,0,0,0.45,0.45,0,0.45,0,0,0.2,0.2,0.01,0.07,0.09,0.01,0.09
Ali Karimi,MF,IR Iran,28-310,1994,3,1,99,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ali Maaloul,DF,Tunisia,32-351,1990,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alidu Seidu,DF,Ghana,22-197,2000,2,2,155,1.7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01
Alireza Beiranvand,GK,IR Iran,30-088,1992,2,2,109,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alireza Jahanbakhsh,MF,IR Iran,29-129,1993,2,1,59,0.7,0,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0,0.2,0.29,0,0.29,0.29,0.29
Alisson,GK,Brazil,30-077,1992,4,4,379,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alistair Johnston,DF,Canada,24-071,1998,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0.8,0.8,0.2,1,0.27,0.06,0.33,0.27,0.33
Almoez Ali,FW,Qatar,26-121,1996,3,3,224,2.5,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0,0.4,0.15,0,0.15,0.15,0.15
